Episode,Reward,Steps,Progress,AvgDist,MaxDist,Within5m%,AvgSpeed,R_Follow,R_Heading,R_Smooth,EndReason,TotalSteps
246,559.40,4375,0.0040,584.09,651.53,0.0,1.04,0.00,626.70,-67.3028,truncated,710556
247,2103.44,375,0.5200,1.70,4.69,100.0,17.04,652.10,168.86,-12.5245,,712056
248,200.44,34,0.5700,1.59,3.54,100.0,18.77,60.29,15.34,-0.1957,,712192
249,2362.45,1216,0.8140,4.11,19.49,76.6,6.04,1403.77,369.16,-20.4842,,717056
250,1709.09,4375,0.8220,11.53,23.42,14.4,1.25,1099.37,628.19,-38.4612,truncated,734556
251,1845.83,375,0.4240,1.88,5.09,99.5,19.16,635.46,159.88,-4.5136,,736056
252,75.86,34,0.4300,2.68,5.58,91.2,6.43,50.72,11.57,-1.4291,,736192
253,2133.48,1216,0.5640,3.36,8.86,88.1,3.72,1560.86,250.50,-12.8829,,741056
254,2435.72,2213,0.6200,5.09,14.62,59.7,1.85,1981.93,329.38,-15.5878,,749908
255,2785.99,2162,0.6360,4.40,18.93,80.9,1.39,2343.17,415.07,-12.2548,truncated,758556
256,1227.33,375,0.2200,2.34,4.99,100.0,5.80,588.09,101.49,-7.2581,,760056
257,1804.78,1250,0.2260,3.46,9.73,91.4,1.15,1566.46,228.36,-5.0349,,765056
258,2199.12,2213,0.2280,4.98,12.60,58.5,1.40,1844.65,361.08,-11.6149,,773908
259,1557.74,2162,0.2280,6.14,12.84,39.8,1.28,1259.64,308.88,-10.7763,truncated,782556
260,2115.21,375,0.5180,1.61,4.42,100.0,18.49,663.32,166.39,-4.4990,,784056
261,2460.89,527,1.0000,2.21,7.86,94.1,15.69,844.03,221.43,-9.5735,completed,786164
262,926.67,723,0.0420,4.43,9.57,70.0,2.52,699.67,132.42,-5.4185,,789056
263,2394.85,2213,0.0440,4.54,10.32,64.3,1.22,2066.42,338.68,-15.2473,,797908
264,571.25,367,0.0520,3.23,5.87,93.5,1.77,482.06,71.35,-2.1624,,799376
265,3944.68,1903,0.4300,3.12,8.35,93.2,5.38,2550.79,464.32,-15.4230,,806988
266,1651.13,794,0.5640,2.95,9.06,94.2,5.76,1116.90,209.06,-9.8335,truncated,810164
267,1349.99,723,0.0740,3.02,9.05,92.7,4.23,1003.95,176.62,-10.5738,,813056
268,1554.49,1069,0.1140,4.99,34.80,85.4,3.54,1278.47,209.89,-33.8715,,817332
269,445.41,1144,0.1220,12.35,37.76,19.4,4.43,338.32,158.56,-71.4627,,821908
270,2958.43,1141,0.7240,5.99,27.89,59.0,11.43,1140.12,348.77,-35.4570,,826472
271,1682.08,439,1.0000,2.80,7.48,90.7,15.12,627.11,171.02,-6.0512,completed,828228
272,2064.66,402,0.4780,1.75,3.70,100.0,19.00,693.67,186.18,-5.1942,,829836
273,1102.62,288,0.7020,2.71,6.87,87.8,19.45,415.61,130.29,-3.2698,,830988
274,1699.75,411,1.0000,2.91,7.04,85.9,19.30,569.83,189.64,-4.7261,completed,832632
275,3774.07,778,0.8700,1.99,5.81,98.8,18.25,1282.97,347.49,-26.3852,,835744
276,749.21,102,1.0000,1.68,3.60,100.0,18.51,178.15,47.83,-1.7679,completed,836152
277,3946.74,971,0.8220,2.47,7.28,92.1,18.31,1469.23,438.40,-10.8894,,840036
